"Name","Article_Number","Origin","Alcohol","Price","Volume","Manufacturer","Type","Region","Vintage","Is_New"
"Casal Garcia Douro Red","7200601","Portugal","12,5 %","77,00 kr","750 ml","Casal Garcia","Rött","DO Douro","2017","No"
"Notre Dame de Cousignac Ventoux EKO","240601","Frankrike","13,5 %","99,00 kr","750 ml","Domaine Notre Dame de Cousignac","Rött","Rhône","2017","No"
"Dark Horse Chardonnay","7248701","USA","13,5 %","89,00 kr","750 ml","Dark Horse","Vitt","Kalifornien","2016","No"
"Château Gassier Le Pas du Moine Rosé EKO","7375201","Frankrike","13,5 %","165,00 kr","750 ml","Gassier","Rosé","Provence","2017","No"
"Tahbilk Roussanne Marsanne Viognier","681401","Australien","13 %","105,00 kr","750 ml","Tahbilk","Vitt","Central Victoria","2015","No"
"Mads Vodka","8151601","Sverige","37,5 %","249,00 kr","700 ml","Spendrups Bryggeri","Sprit","","","No"
"Casal Garcia Rosé","7929201","Portugal","9,5 %","77,00 kr","750 ml","Casal Garcia","Rosé","Minho","Non Vintage","No"
"Tenuta Frescobaldi di Castiglioni Toscana IGT","7283401","Italien","13 %","185,00 kr","750 ml","Tenuta di Castiglioni","Rött","Toscana","2016","No"
"Saltörens Akvavit","8661302","Sverige","42 %","243,00 kr","500 ml","Gotlands Bryggeri","Sprit","","","No"
"Martín Códax Albariño","7008801","Spanien","12,5 %","130,00 kr","750 ml","Martín Códax","Vitt","Galicien","2017","No"
"Laroche Bourgogne Réserve","562101","Frankrike","12,5 %","119,00 kr","750 ml","Domaine Laroche","Vitt","Bourgogne","2017","No"
"Domaine Laroche Réserve de l’Obédience Chablis Grand Cru Les Blanchots","7886401","Frankrike","13,5 %","870,00 kr","750 ml","Domaine Laroche","Vitt","Bourgogne","2012","No"
"Dancing Bull Zinfandel","659801","USA","14 %","115,00 kr","750 ml","Rancho Zabaco Winery","Rött","Kalifornien","2015","No"
"Spring Village Merlot","671106","USA","13 %","131,00 kr","1.5 l","Spring Village","Rött","Kalifornien","2017","No"
"Clos de l´Oratoire des Papes Châteauneuf-du-Pape Rouge","7396301","Frankrike","14,5 %","350,00 kr","750 ml","Ogier","Rött","Rhône","2016","No"
"Clos de l´Oratoire des Papes Châteauneuf-du-Pape Blanc","7551301","Frankrike","13,5 %","","750 ml","Ogier","Vitt","Rhône","2016","No"
"Jean Garde Chardonnay","7482101","Sydafrika","14 %","","750 ml","Boschendal","Vitt","Western Cape","2017","No"
"Apothic Red Winemaker’s Blend","642001","USA","13,5 %","","750 ml","Apothic","Rött","Kalifornien","2016","No"
"Coteaux d’Aix en Provence EKO","223707","Frankrike","13 %","245,00 kr","2.3 l","Gassier","Rosé","Provence","2017","No"
